shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,status,delay_days
SHP-8019,ORD-5019,Apex Logistics,TRK-50455821,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8020,ORD-5020,Apex Logistics,TRK-61030579,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8021,ORD-5021,FedEx Freight,TRK-52018286,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8022,ORD-5022,UPS Freight,TRK-58567046,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8023,ORD-5023,FedEx Freight,TRK-63118906,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8024,ORD-5024,FedEx Freight,TRK-81216573,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8025,ORD-5025,Apex Logistics,TRK-90852623,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8026,ORD-5026,Old Dominion,TRK-30261159,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8027,ORD-5027,Old Dominion,TRK-71974027,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8028,ORD-5028,UPS Freight,TRK-72104107,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8029,ORD-5029,FedEx Freight,TRK-70468188,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8030,ORD-5030,Swift Transport,TRK-80162053,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8031,ORD-5031,Old Dominion,TRK-18846539,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8032,ORD-5032,Apex Logistics,TRK-56952151,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8033,ORD-5033,UPS Freight,TRK-12446861,2026-09-12,2026-09-15,,In Transit,1
SHP-8034,ORD-5034,Apex Logistics,TRK-30796389,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8035,ORD-5035,Apex Logistics,TRK-90161060,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8036,ORD-5036,UPS Freight,TRK-58895439,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8037,ORD-5037,Apex Logistics,TRK-59370777,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8038,ORD-5038,Apex Logistics,TRK-43554863,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8039,ORD-5039,Old Dominion,TRK-78901038,2026-09-12,2026-09-15,,In Transit,1
SHP-8040,ORD-5040,FedEx Freight,TRK-63211150,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8041,ORD-5041,Apex Logistics,TRK-15140967,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8042,ORD-5042,Apex Logistics,TRK-24923247,2026-09-01,2026-09-04,2026-09-15,Delayed,11
SHP-8043,ORD-5043,FedEx Freight,TRK-24879094,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8044,ORD-5044,Apex Logistics,TRK-29270557,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8045,ORD-5045,Old Dominion,TRK-19083764,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8046,ORD-5046,FedEx Freight,TRK-95318289,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8047,ORD-5047,Old Dominion,TRK-42363373,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8048,ORD-5048,Apex Logistics,TRK-57284777,2026-09-13,2026-09-16,,In Transit,0
SHP-8049,ORD-5049,Apex Logistics,TRK-28099607,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8050,ORD-5050,Swift Transport,TRK-63448727,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8051,ORD-5051,Old Dominion,TRK-46670512,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8052,ORD-5052,Swift Transport,TRK-45798645,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8053,ORD-5053,Apex Logistics,TRK-83212334,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8054,ORD-5054,UPS Freight,TRK-57183837,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8055,ORD-5055,Apex Logistics,TRK-14179623,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8056,ORD-5056,Swift Transport,TRK-70387584,2026-09-09,2026-09-12,,In Transit,0
SHP-8057,ORD-5057,Swift Transport,TRK-59251188,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8058,ORD-5058,Swift Transport,TRK-61940566,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8059,ORD-5059,UPS Freight,TRK-36867482,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8060,ORD-5060,FedEx Freight,TRK-83819367,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8061,ORD-5061,Apex Logistics,TRK-28639738,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8062,ORD-5062,Swift Transport,TRK-21571646,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8063,ORD-5063,FedEx Freight,TRK-70394554,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8064,ORD-5064,Apex Logistics,TRK-68065043,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8065,ORD-5065,Apex Logistics,TRK-56442431,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8066,ORD-5066,Old Dominion,TRK-92467167,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8067,ORD-5067,Swift Transport,TRK-13808225,2026-09-12,2026-09-15,,In Transit,0
SHP-8068,ORD-5068,Swift Transport,TRK-48879071,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8069,ORD-5069,Apex Logistics,TRK-55659873,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8070,ORD-5070,FedEx Freight,TRK-52831009,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8071,ORD-5071,UPS Freight,TRK-92594562,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8072,ORD-5072,Swift Transport,TRK-72654864,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8073,ORD-5073,Swift Transport,TRK-71368457,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8074,ORD-5074,UPS Freight,TRK-48352498,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8075,ORD-5075,Swift Transport,TRK-85405783,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8076,ORD-5076,Apex Logistics,TRK-22976369,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8077,ORD-5077,FedEx Freight,TRK-16080513,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8078,ORD-5078,Old Dominion,TRK-31810655,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8079,ORD-5079,UPS Freight,TRK-12232974,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8080,ORD-5080,Old Dominion,TRK-94457912,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8081,ORD-5081,Apex Logistics,TRK-29834119,2026-09-09,2026-09-12,,In Transit,1
SHP-8082,ORD-5082,UPS Freight,TRK-52103092,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8083,ORD-5083,FedEx Freight,TRK-28533117,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8084,ORD-5084,Old Dominion,TRK-96343485,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8085,ORD-5085,Apex Logistics,TRK-75632882,2026-08-18,2026-08-21,2026-08-29,Delayed,8
SHP-8086,ORD-5086,UPS Freight,TRK-56323191,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8087,ORD-5087,FedEx Freight,TRK-56488123,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8088,ORD-5088,Old Dominion,TRK-28424464,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8089,ORD-5089,FedEx Freight,TRK-65472370,2026-09-10,2026-09-13,,In Transit,0
SHP-8090,ORD-5090,UPS Freight,TRK-74082055,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8091,ORD-5091,Swift Transport,TRK-15006085,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8092,ORD-5092,FedEx Freight,TRK-54968591,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8093,ORD-5093,UPS Freight,TRK-97011385,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8094,ORD-5094,UPS Freight,TRK-67405358,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8095,ORD-5095,UPS Freight,TRK-53433080,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8096,ORD-5096,Swift Transport,TRK-86890296,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8097,ORD-5097,UPS Freight,TRK-77447155,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8098,ORD-5098,Apex Logistics,TRK-71066203,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8099,ORD-5099,Swift Transport,TRK-20482769,2026-09-09,2026-09-12,,In Transit,1
SHP-8100,ORD-5100,Apex Logistics,TRK-86866717,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8101,ORD-5101,Swift Transport,TRK-75609379,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8102,ORD-5102,FedEx Freight,TRK-85000490,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8103,ORD-5103,FedEx Freight,TRK-82633735,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8104,ORD-5104,Apex Logistics,TRK-28176954,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8105,ORD-5105,UPS Freight,TRK-80980044,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8106,ORD-5106,Swift Transport,TRK-66925500,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8107,ORD-5107,Apex Logistics,TRK-25145751,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8108,ORD-5108,FedEx Freight,TRK-69920305,2026-09-13,2026-09-16,,In Transit,0
SHP-8109,ORD-5109,Apex Logistics,TRK-82445335,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8110,ORD-5110,Old Dominion,TRK-41796721,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8111,ORD-5111,Swift Transport,TRK-89412216,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8112,ORD-5112,Apex Logistics,TRK-50250352,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8113,ORD-5113,UPS Freight,TRK-65902739,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8114,ORD-5114,Swift Transport,TRK-35566010,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8115,ORD-5115,Swift Transport,TRK-85007641,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8116,ORD-5116,UPS Freight,TRK-42560305,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8117,ORD-5117,Old Dominion,TRK-58270683,2026-09-09,2026-09-12,,In Transit,1
SHP-8118,ORD-5118,Apex Logistics,TRK-59755172,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8119,ORD-5119,Swift Transport,TRK-87731247,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8120,ORD-5120,Swift Transport,TRK-42981324,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8121,ORD-5121,Old Dominion,TRK-32718459,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8122,ORD-5122,FedEx Freight,TRK-19976458,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8123,ORD-5123,FedEx Freight,TRK-11226946,2026-09-13,2026-09-16,,In Transit,0
SHP-8124,ORD-5124,FedEx Freight,TRK-81432350,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8125,ORD-5125,Old Dominion,TRK-81905550,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8126,ORD-5126,Swift Transport,TRK-43878996,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8127,ORD-5127,FedEx Freight,TRK-97742922,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8128,ORD-5128,Swift Transport,TRK-17531619,2026-09-12,2026-09-15,,In Transit,1
SHP-8129,ORD-5129,Old Dominion,TRK-85947990,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8130,ORD-5130,FedEx Freight,TRK-47631028,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8131,ORD-5131,Old Dominion,TRK-31803703,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8132,ORD-5132,Old Dominion,TRK-17207013,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8133,ORD-5133,Swift Transport,TRK-89941241,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8134,ORD-5134,UPS Freight,TRK-34929311,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8135,ORD-5135,UPS Freight,TRK-95080736,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8136,ORD-5136,Old Dominion,TRK-23721268,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8137,ORD-5137,Old Dominion,TRK-84386123,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8138,ORD-5138,UPS Freight,TRK-21368176,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8139,ORD-5139,Old Dominion,TRK-46024950,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8140,ORD-5140,UPS Freight,TRK-20324210,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8141,ORD-5141,UPS Freight,TRK-54589439,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8142,ORD-5142,Old Dominion,TRK-74291599,2026-09-10,2026-09-13,,In Transit,0
SHP-8143,ORD-5143,UPS Freight,TRK-47621248,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8144,ORD-5144,Apex Logistics,TRK-68848427,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8145,ORD-5145,UPS Freight,TRK-60598851,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8146,ORD-5146,Swift Transport,TRK-89701163,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8147,ORD-5147,Swift Transport,TRK-96574622,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8148,ORD-5148,Apex Logistics,TRK-78541804,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8149,ORD-5149,Swift Transport,TRK-77171380,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8150,ORD-5150,Old Dominion,TRK-56045630,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8151,ORD-5151,FedEx Freight,TRK-25446483,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8152,ORD-5152,Apex Logistics,TRK-79255529,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8153,ORD-5153,Apex Logistics,TRK-35016429,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8154,ORD-5154,Apex Logistics,TRK-47358810,2026-09-13,2026-09-16,,In Transit,0
SHP-8155,ORD-5155,Old Dominion,TRK-53752954,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8156,ORD-5156,FedEx Freight,TRK-56697654,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8157,ORD-5157,Apex Logistics,TRK-52035079,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8158,ORD-5158,Apex Logistics,TRK-78561753,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8159,ORD-5159,UPS Freight,TRK-95295586,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8160,ORD-5160,UPS Freight,TRK-58189421,2026-09-12,2026-09-15,,In Transit,0
SHP-8161,ORD-5161,UPS Freight,TRK-64913082,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8162,ORD-5162,Old Dominion,TRK-40177972,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8163,ORD-5163,Old Dominion,TRK-82894477,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8164,ORD-5164,Apex Logistics,TRK-67063296,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8165,ORD-5165,Apex Logistics,TRK-88909809,2026-09-12,2026-09-15,,In Transit,0
SHP-8166,ORD-5166,Swift Transport,TRK-47726592,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8167,ORD-5167,FedEx Freight,TRK-28198434,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8168,ORD-5168,Old Dominion,TRK-43226234,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8169,ORD-5169,UPS Freight,TRK-60354777,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8170,ORD-5170,Apex Logistics,TRK-59535894,2026-08-06,2026-08-09,2026-08-18,Delayed,9
SHP-8171,ORD-5171,Old Dominion,TRK-18500100,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8172,ORD-5172,Old Dominion,TRK-48063218,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8173,ORD-5173,FedEx Freight,TRK-16166355,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8174,ORD-5174,UPS Freight,TRK-67418250,2026-09-11,2026-09-14,,In Transit,0
SHP-8175,ORD-5175,FedEx Freight,TRK-59908025,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8176,ORD-5176,FedEx Freight,TRK-73995913,2026-09-11,2026-09-14,,In Transit,0
SHP-8177,ORD-5177,FedEx Freight,TRK-56113741,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8178,ORD-5178,FedEx Freight,TRK-23747542,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8179,ORD-5179,Apex Logistics,TRK-69069144,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8180,ORD-5180,FedEx Freight,TRK-23484199,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8181,ORD-5181,Swift Transport,TRK-90664728,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8182,ORD-5182,Old Dominion,TRK-42123815,2026-09-13,2026-09-16,,In Transit,0
SHP-8183,ORD-5183,Swift Transport,TRK-11619606,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8184,ORD-5184,Swift Transport,TRK-19064068,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8185,ORD-5185,Swift Transport,TRK-48451741,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8186,ORD-5186,Old Dominion,TRK-20606094,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8187,ORD-5187,Apex Logistics,TRK-17772004,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8188,ORD-5188,Apex Logistics,TRK-51512209,2026-08-07,2026-08-10,2026-08-15,Delayed,5
SHP-8189,ORD-5189,Old Dominion,TRK-32409388,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8190,ORD-5190,Old Dominion,TRK-80310522,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8191,ORD-5191,Swift Transport,TRK-58335011,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8192,ORD-5192,Swift Transport,TRK-25479814,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8193,ORD-5193,FedEx Freight,TRK-73319171,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8194,ORD-5194,Old Dominion,TRK-43321320,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8195,ORD-5195,FedEx Freight,TRK-77382794,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8196,ORD-5196,UPS Freight,TRK-47890586,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8197,ORD-5197,FedEx Freight,TRK-59515518,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8198,ORD-5198,Apex Logistics,TRK-83357939,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8199,ORD-5199,Apex Logistics,TRK-82684966,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8200,ORD-5200,Swift Transport,TRK-66346728,2026-09-11,2026-09-14,,In Transit,0
SHP-8201,ORD-5201,Old Dominion,TRK-71533194,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8202,ORD-5202,Old Dominion,TRK-45029610,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8203,ORD-5203,Apex Logistics,TRK-88478184,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8204,ORD-5204,FedEx Freight,TRK-81930575,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8205,ORD-5205,Swift Transport,TRK-15412975,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8206,ORD-5206,UPS Freight,TRK-78915391,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8207,ORD-5207,Swift Transport,TRK-43534652,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8208,ORD-5208,Apex Logistics,TRK-36592965,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8209,ORD-5209,Old Dominion,TRK-20064609,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8210,ORD-5210,Swift Transport,TRK-68137264,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8211,ORD-5211,FedEx Freight,TRK-92423989,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8212,ORD-5212,UPS Freight,TRK-66268745,2026-09-10,2026-09-13,,In Transit,0
SHP-8213,ORD-5213,UPS Freight,TRK-56175477,2026-09-12,2026-09-15,,In Transit,1
SHP-8214,ORD-5214,Apex Logistics,TRK-13933043,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8215,ORD-5215,Apex Logistics,TRK-45772648,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8216,ORD-5216,FedEx Freight,TRK-57201978,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8217,ORD-5217,Swift Transport,TRK-39368039,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8218,ORD-5218,Apex Logistics,TRK-27514010,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8219,ORD-5219,Swift Transport,TRK-29012298,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8220,ORD-5220,Apex Logistics,TRK-31139813,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8221,ORD-5221,Swift Transport,TRK-33535297,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8222,ORD-5222,Swift Transport,TRK-62559853,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8223,ORD-5223,Swift Transport,TRK-23973438,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8224,ORD-5224,FedEx Freight,TRK-99929175,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8225,ORD-5225,Apex Logistics,TRK-19099261,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8226,ORD-5226,UPS Freight,TRK-66324902,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8227,ORD-5227,UPS Freight,TRK-19893106,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8228,ORD-5228,FedEx Freight,TRK-19959009,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8229,ORD-5229,Old Dominion,TRK-89729429,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8230,ORD-5230,Apex Logistics,TRK-64932613,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8231,ORD-5231,Swift Transport,TRK-83774469,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8232,ORD-5232,UPS Freight,TRK-21761279,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8233,ORD-5233,FedEx Freight,TRK-63347164,2026-09-13,2026-09-16,,In Transit,1
SHP-8234,ORD-5234,UPS Freight,TRK-59580252,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8235,ORD-5235,FedEx Freight,TRK-30284415,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8236,ORD-5236,Swift Transport,TRK-84303190,2026-09-13,2026-09-16,,In Transit,0
SHP-8237,ORD-5237,UPS Freight,TRK-14661179,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8238,ORD-5238,Apex Logistics,TRK-35867257,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8239,ORD-5239,Apex Logistics,TRK-89865944,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8240,ORD-5240,Swift Transport,TRK-88863127,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8241,ORD-5241,FedEx Freight,TRK-48398732,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8242,ORD-5242,Old Dominion,TRK-64086249,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8243,ORD-5243,FedEx Freight,TRK-50675347,2026-09-10,2026-09-13,,In Transit,1
SHP-8244,ORD-5244,Old Dominion,TRK-69473299,2026-08-19,2026-08-22,2026-08-22,Delivered,0
