sku,product_id,product_name,warehouse_location,quantity_on_hand,reorder_level,safety_stock,unit_cost
SKU-PROD-240,PROD-240,Fastener Unit Mod-140,WH-South (TX),57,15,7,74.27
SKU-PROD-241,PROD-241,Pneumatic Unit Mod-141,WH-West (NV),522,100,50,304.51
SKU-PROD-242,PROD-242,Heavy Machinery Unit Mod-142,WH-West (NV),492,100,50,48.04
SKU-PROD-243,PROD-243,Hydraulic Unit Mod-143,WH-East (NJ),137,25,12,290.8
SKU-PROD-244,PROD-244,Sensors & IoT Unit Mod-144,WH-East (NJ),179,50,25,138.5
SKU-PROD-245,PROD-245,Safety Equipment Unit Mod-145,WH-Central (IL),43,15,7,211.2
SKU-PROD-246,PROD-246,Fastener Unit Mod-146,WH-South (TX),145,25,12,37.27
SKU-PROD-247,PROD-247,Pneumatic Unit Mod-147,WH-West (NV),14,15,7,326.66
SKU-PROD-248,PROD-248,Heavy Machinery Unit Mod-148,WH-South (TX),36,15,7,259.71
SKU-PROD-249,PROD-249,Hydraulic Unit Mod-149,WH-West (NV),36,25,12,221.12
SKU-PROD-250,PROD-250,Sensors & IoT Unit Mod-150,WH-East (NJ),197,50,25,236.81
SKU-PROD-251,PROD-251,Safety Equipment Unit Mod-151,WH-West (NV),342,100,50,201.58
SKU-PROD-252,PROD-252,Fastener Unit Mod-152,WH-West (NV),454,100,50,128.59
SKU-PROD-253,PROD-253,Pneumatic Unit Mod-153,WH-South (TX),109,25,12,106.01
SKU-PROD-254,PROD-254,Heavy Machinery Unit Mod-154,WH-West (NV),531,100,50,392.21
SKU-PROD-255,PROD-255,Hydraulic Unit Mod-155,WH-Central (IL),87,50,25,169.45
SKU-PROD-256,PROD-256,Sensors & IoT Unit Mod-156,WH-East (NJ),180,50,25,373.73
SKU-PROD-257,PROD-257,Safety Equipment Unit Mod-157,WH-West (NV),427,100,50,380.93
SKU-PROD-258,PROD-258,Fastener Unit Mod-158,WH-Central (IL),578,100,50,392.74
SKU-PROD-259,PROD-259,Pneumatic Unit Mod-159,WH-East (NJ),441,100,50,171.68
SKU-PROD-260,PROD-260,Heavy Machinery Unit Mod-160,WH-South (TX),22,25,12,218.52
SKU-PROD-261,PROD-261,Hydraulic Unit Mod-161,WH-West (NV),575,100,50,441.83
SKU-PROD-262,PROD-262,Sensors & IoT Unit Mod-162,WH-East (NJ),77,15,7,124.26
SKU-PROD-263,PROD-263,Safety Equipment Unit Mod-163,WH-East (NJ),181,100,50,160.22
SKU-PROD-264,PROD-264,Fastener Unit Mod-164,WH-West (NV),39,25,12,189.08
SKU-PROD-265,PROD-265,Pneumatic Unit Mod-165,WH-East (NJ),186,50,25,235.51
SKU-PROD-266,PROD-266,Heavy Machinery Unit Mod-166,WH-Central (IL),159,100,50,394.62
SKU-PROD-267,PROD-267,Hydraulic Unit Mod-167,WH-South (TX),42,15,7,67.38
SKU-PROD-268,PROD-268,Sensors & IoT Unit Mod-168,WH-West (NV),93,25,12,332.04
SKU-PROD-269,PROD-269,Safety Equipment Unit Mod-169,WH-South (TX),231,50,25,56.8
SKU-PROD-270,PROD-270,Fastener Unit Mod-170,WH-South (TX),44,15,7,168.89
SKU-PROD-271,PROD-271,Pneumatic Unit Mod-171,WH-East (NJ),445,100,50,387.0
SKU-PROD-272,PROD-272,Heavy Machinery Unit Mod-172,WH-South (TX),536,100,50,430.51
SKU-PROD-273,PROD-273,Hydraulic Unit Mod-173,WH-West (NV),77,15,7,395.76
SKU-PROD-274,PROD-274,Sensors & IoT Unit Mod-174,WH-West (NV),68,50,25,124.78
SKU-PROD-275,PROD-275,Safety Equipment Unit Mod-175,WH-South (TX),29,100,50,448.91
SKU-PROD-276,PROD-276,Fastener Unit Mod-176,WH-Central (IL),81,15,7,440.79
SKU-PROD-277,PROD-277,Pneumatic Unit Mod-177,WH-East (NJ),71,15,7,213.56
SKU-PROD-278,PROD-278,Heavy Machinery Unit Mod-178,WH-West (NV),235,50,25,44.55
SKU-PROD-279,PROD-279,Hydraulic Unit Mod-179,WH-West (NV),104,25,12,177.35
SKU-PROD-280,PROD-280,Sensors & IoT Unit Mod-180,WH-South (TX),42,25,12,250.75
