order_id,customer_id,order_date,status,total_amount,shipping_method,payment_terms
ORD-5113,CUST-1049,2026-08-12 16:00:00,Delivered,11382.57,Expedited Air,Net 30
ORD-5114,CUST-1018,2026-08-25 11:00:00,Delivered,5468.56,Expedited Air,Net 30
ORD-5115,CUST-1007,2026-08-18 14:00:00,Delivered,700.92,Ground Freight,Net 30
ORD-5116,CUST-1028,2026-08-31 11:00:00,Delivered,9593.6,Expedited Air,Net 30
ORD-5117,CUST-1090,2026-09-08 11:00:00,Shipped,11677.78,Expedited Air,Net 30
ORD-5118,CUST-1066,2026-09-01 15:00:00,Delivered,4053.6,Ground Freight,Net 30
ORD-5119,CUST-1041,2026-08-27 08:00:00,Delivered,2015.22,Ground Freight,Net 30
ORD-5120,CUST-1093,2026-08-27 12:00:00,Delivered,3085.92,Ground Freight,Net 30
ORD-5121,CUST-1064,2026-09-05 18:00:00,Delivered,15221.44,Expedited Air,Net 30
ORD-5122,CUST-1018,2026-09-04 15:00:00,Delivered,4398.43,Ground Freight,Net 30
ORD-5123,CUST-1105,2026-09-12 08:00:00,Processing,572.31,Ground Freight,Net 30
ORD-5124,CUST-1028,2026-09-02 15:00:00,Delivered,3674.91,Ground Freight,Net 30
ORD-5125,CUST-1071,2026-08-27 08:00:00,Delivered,6604.2,Expedited Air,Net 30
ORD-5126,CUST-1037,2026-08-02 16:00:00,Delivered,7829.05,Expedited Air,Net 30
ORD-5127,CUST-1102,2026-08-26 09:00:00,Delivered,7033.1,Expedited Air,Net 30
ORD-5128,CUST-1110,2026-09-11 08:00:00,Shipped,1587.32,Ground Freight,Net 30
ORD-5129,CUST-1082,2026-08-01 10:00:00,Delivered,2445.66,Ground Freight,Net 30
ORD-5130,CUST-1118,2026-08-03 11:00:00,Delivered,5103.18,Expedited Air,Net 30
ORD-5131,CUST-1085,2026-08-03 10:00:00,Delivered,4407.84,Ground Freight,Net 30
ORD-5132,CUST-1073,2026-08-25 18:00:00,Delivered,7878.21,Expedited Air,Net 30
ORD-5133,CUST-1013,2026-08-28 11:00:00,Delivered,2005.8,Ground Freight,Net 30
ORD-5134,CUST-1051,2026-08-21 08:00:00,Delivered,11475.8,Expedited Air,Net 30
ORD-5135,CUST-1088,2026-09-07 18:00:00,Delivered,5545.74,Expedited Air,Net 30
ORD-5136,CUST-1020,2026-08-25 13:00:00,Delivered,7600.25,Expedited Air,Net 30
ORD-5137,CUST-1017,2026-08-06 10:00:00,Delivered,14317.9,Expedited Air,Net 30
ORD-5138,CUST-1077,2026-08-21 14:00:00,Delivered,3541.93,Ground Freight,Net 30
ORD-5139,CUST-1093,2026-09-05 11:00:00,Delivered,1649.17,Ground Freight,Net 30
ORD-5140,CUST-1064,2026-08-10 09:00:00,Delivered,5972.75,Expedited Air,Net 30
ORD-5141,CUST-1047,2026-08-17 11:00:00,Delivered,8035.22,Expedited Air,Net 30
ORD-5142,CUST-1108,2026-09-09 14:00:00,Shipped,11699.93,Expedited Air,Net 30
ORD-5143,CUST-1041,2026-08-12 14:00:00,Delivered,11916.22,Expedited Air,Net 30
ORD-5144,CUST-1015,2026-09-06 11:00:00,Delivered,4942.72,Ground Freight,Net 30
ORD-5145,CUST-1103,2026-08-19 09:00:00,Delivered,9703.16,Expedited Air,Net 30
ORD-5146,CUST-1010,2026-08-29 17:00:00,Delivered,13047.98,Expedited Air,Net 30
ORD-5147,CUST-1082,2026-08-06 09:00:00,Delivered,500.5,Ground Freight,Net 30
ORD-5148,CUST-1102,2026-08-28 09:00:00,Delivered,2899.95,Ground Freight,Net 30
ORD-5149,CUST-1096,2026-09-03 16:00:00,Delivered,6731.02,Expedited Air,Net 30
ORD-5150,CUST-1020,2026-08-23 08:00:00,Delivered,8175.08,Expedited Air,Net 30
ORD-5151,CUST-1059,2026-08-14 16:00:00,Delivered,12290.61,Expedited Air,Net 30
ORD-5152,CUST-1003,2026-08-22 18:00:00,Delivered,9727.44,Expedited Air,Net 30
ORD-5153,CUST-1023,2026-09-05 10:00:00,Delivered,9370.31,Expedited Air,Net 30
ORD-5154,CUST-1082,2026-09-12 14:00:00,Processing,15678.19,Expedited Air,Net 30
ORD-5155,CUST-1097,2026-08-05 17:00:00,Delivered,329.91,Ground Freight,Net 30
ORD-5156,CUST-1015,2026-08-17 18:00:00,Delivered,19324.45,Expedited Air,Net 30
ORD-5157,CUST-1046,2026-08-30 17:00:00,Delivered,5154.88,Expedited Air,Net 30
ORD-5158,CUST-1016,2026-08-16 12:00:00,Delivered,4858.8,Ground Freight,Net 30
ORD-5159,CUST-1050,2026-08-27 17:00:00,Delivered,2614.11,Ground Freight,Net 30
ORD-5160,CUST-1069,2026-09-11 10:00:00,Shipped,1782.77,Ground Freight,Net 30
ORD-5161,CUST-1002,2026-09-01 10:00:00,Delivered,7592.01,Expedited Air,Net 30
ORD-5162,CUST-1088,2026-09-01 14:00:00,Delivered,4122.8,Ground Freight,Net 30
ORD-5163,CUST-1069,2026-08-19 10:00:00,Delivered,11731.52,Expedited Air,Net 30
ORD-5164,CUST-1106,2026-08-24 16:00:00,Delivered,6119.46,Expedited Air,Net 30
ORD-5165,CUST-1014,2026-09-11 11:00:00,Processing,6236.42,Expedited Air,Net 30
ORD-5166,CUST-1089,2026-08-23 17:00:00,Delivered,12595.1,Expedited Air,Net 30
ORD-5167,CUST-1077,2026-09-04 10:00:00,Delivered,12398.62,Expedited Air,Net 30
ORD-5168,CUST-1097,2026-08-27 08:00:00,Delivered,7553.32,Expedited Air,Net 30
ORD-5169,CUST-1098,2026-08-26 15:00:00,Delivered,10738.64,Expedited Air,Net 30
ORD-5170,CUST-1058,2026-08-05 18:00:00,Delayed,2040.84,Ground Freight,Net 30
ORD-5171,CUST-1042,2026-09-07 08:00:00,Delivered,3331.13,Ground Freight,Net 30
ORD-5172,CUST-1102,2026-09-04 14:00:00,Delivered,3062.38,Ground Freight,Net 30
ORD-5173,CUST-1044,2026-09-05 17:00:00,Delivered,6565.82,Expedited Air,Net 30
ORD-5174,CUST-1013,2026-09-10 15:00:00,Shipped,1932.27,Ground Freight,Net 30
ORD-5175,CUST-1026,2026-08-09 18:00:00,Delivered,11364.38,Expedited Air,Net 30
ORD-5176,CUST-1051,2026-09-10 12:00:00,Processing,10208.93,Expedited Air,Net 30
ORD-5177,CUST-1010,2026-08-09 17:00:00,Delivered,2186.61,Ground Freight,Net 30
ORD-5178,CUST-1089,2026-08-09 15:00:00,Delivered,925.26,Ground Freight,Net 30
ORD-5179,CUST-1048,2026-08-20 10:00:00,Delivered,9152.4,Expedited Air,Net 30
ORD-5180,CUST-1045,2026-08-14 18:00:00,Delivered,4627.46,Ground Freight,Net 30
ORD-5181,CUST-1018,2026-08-08 17:00:00,Delivered,7345.31,Expedited Air,Net 30
ORD-5182,CUST-1004,2026-09-12 12:00:00,Shipped,4535.58,Ground Freight,Net 30
ORD-5183,CUST-1064,2026-08-25 09:00:00,Delivered,4642.1,Ground Freight,Net 30
ORD-5184,CUST-1047,2026-08-21 10:00:00,Delivered,11537.18,Expedited Air,Net 30
ORD-5185,CUST-1002,2026-08-17 11:00:00,Delivered,719.67,Ground Freight,Net 30
ORD-5186,CUST-1081,2026-09-02 14:00:00,Delivered,2950.88,Ground Freight,Net 30
ORD-5187,CUST-1066,2026-08-14 10:00:00,Delivered,10971.07,Expedited Air,Net 30
ORD-5188,CUST-1032,2026-08-06 14:00:00,Delayed,3028.3,Ground Freight,Net 30
ORD-5189,CUST-1002,2026-08-09 08:00:00,Delivered,3329.01,Ground Freight,Net 30
ORD-5190,CUST-1096,2026-08-18 09:00:00,Delivered,3908.31,Ground Freight,Net 30
ORD-5191,CUST-1009,2026-08-17 17:00:00,Delivered,2795.04,Ground Freight,Net 30
ORD-5192,CUST-1008,2026-09-01 17:00:00,Delivered,1933.52,Ground Freight,Net 30
ORD-5193,CUST-1030,2026-09-02 08:00:00,Delivered,551.12,Ground Freight,Net 30
ORD-5194,CUST-1047,2026-08-25 10:00:00,Delivered,3282.12,Ground Freight,Net 30
ORD-5195,CUST-1054,2026-08-21 12:00:00,Delivered,1395.0,Ground Freight,Net 30
ORD-5196,CUST-1087,2026-08-04 10:00:00,Delivered,590.49,Ground Freight,Net 30
ORD-5197,CUST-1100,2026-08-20 13:00:00,Delivered,6158.72,Expedited Air,Net 30
ORD-5198,CUST-1026,2026-08-19 17:00:00,Delivered,10637.72,Expedited Air,Net 30
ORD-5199,CUST-1098,2026-08-16 10:00:00,Delivered,190.77,Ground Freight,Net 30
ORD-5200,CUST-1045,2026-09-10 08:00:00,Processing,10654.63,Expedited Air,Net 30
ORD-5201,CUST-1063,2026-08-04 10:00:00,Delivered,4028.14,Ground Freight,Net 30
ORD-5202,CUST-1013,2026-09-02 10:00:00,Delivered,9494.98,Expedited Air,Net 30
ORD-5203,CUST-1109,2026-08-21 14:00:00,Delivered,7955.96,Expedited Air,Net 30
ORD-5204,CUST-1014,2026-08-10 09:00:00,Delivered,9038.91,Expedited Air,Net 30
ORD-5205,CUST-1058,2026-08-20 15:00:00,Delivered,11463.32,Expedited Air,Net 30
ORD-5206,CUST-1028,2026-08-21 10:00:00,Delivered,3113.04,Ground Freight,Net 30
ORD-5207,CUST-1007,2026-08-20 12:00:00,Delivered,9205.88,Expedited Air,Net 30
ORD-5208,CUST-1013,2026-08-30 09:00:00,Delivered,1055.33,Ground Freight,Net 30
ORD-5209,CUST-1106,2026-08-26 13:00:00,Delivered,8574.5,Expedited Air,Net 30
ORD-5210,CUST-1003,2026-08-05 11:00:00,Delivered,6532.76,Expedited Air,Net 30
ORD-5211,CUST-1004,2026-08-25 18:00:00,Delivered,6837.7,Expedited Air,Net 30
ORD-5212,CUST-1080,2026-09-09 11:00:00,Shipped,8810.0,Expedited Air,Net 30
ORD-5213,CUST-1026,2026-09-11 16:00:00,Shipped,4131.62,Ground Freight,Net 30
ORD-5214,CUST-1117,2026-09-06 16:00:00,Delivered,8394.75,Expedited Air,Net 30
ORD-5215,CUST-1115,2026-08-18 08:00:00,Delivered,13533.82,Expedited Air,Net 30
ORD-5216,CUST-1069,2026-08-04 11:00:00,Delivered,7408.41,Expedited Air,Net 30
ORD-5217,CUST-1019,2026-09-06 11:00:00,Delivered,5069.78,Expedited Air,Net 30
ORD-5218,CUST-1003,2026-09-03 15:00:00,Delivered,5583.3,Expedited Air,Net 30
ORD-5219,CUST-1044,2026-08-12 13:00:00,Delivered,883.77,Ground Freight,Net 30
ORD-5220,CUST-1111,2026-08-24 09:00:00,Delivered,9007.94,Expedited Air,Net 30
ORD-5221,CUST-1094,2026-08-28 18:00:00,Delivered,19474.59,Expedited Air,Net 30
ORD-5222,CUST-1049,2026-08-20 12:00:00,Delivered,11487.84,Expedited Air,Net 30
ORD-5223,CUST-1109,2026-09-06 08:00:00,Delivered,1707.28,Ground Freight,Net 30
ORD-5224,CUST-1120,2026-09-01 10:00:00,Delivered,11992.06,Expedited Air,Net 30
ORD-5225,CUST-1082,2026-08-22 15:00:00,Delivered,730.84,Ground Freight,Net 30
ORD-5226,CUST-1045,2026-08-17 09:00:00,Delivered,4690.98,Ground Freight,Net 30
ORD-5227,CUST-1022,2026-08-27 15:00:00,Delivered,8421.34,Expedited Air,Net 30
ORD-5228,CUST-1103,2026-08-03 12:00:00,Delivered,2675.05,Ground Freight,Net 30
ORD-5229,CUST-1114,2026-08-25 10:00:00,Delivered,1539.68,Ground Freight,Net 30
ORD-5230,CUST-1079,2026-08-31 08:00:00,Delivered,13431.23,Expedited Air,Net 30
ORD-5231,CUST-1090,2026-09-05 16:00:00,Delivered,7903.65,Expedited Air,Net 30
ORD-5232,CUST-1108,2026-09-01 10:00:00,Delivered,517.12,Ground Freight,Net 30
ORD-5233,CUST-1038,2026-09-12 18:00:00,Shipped,12506.34,Expedited Air,Net 30
ORD-5234,CUST-1061,2026-09-01 18:00:00,Delivered,13111.06,Expedited Air,Net 30
ORD-5235,CUST-1024,2026-08-29 08:00:00,Delivered,13607.76,Expedited Air,Net 30
ORD-5236,CUST-1097,2026-09-12 09:00:00,Shipped,3561.48,Ground Freight,Net 30
ORD-5237,CUST-1008,2026-08-25 16:00:00,Delivered,15330.55,Expedited Air,Net 30
ORD-5238,CUST-1065,2026-09-06 16:00:00,Delivered,6237.73,Expedited Air,Net 30
ORD-5239,CUST-1017,2026-08-03 14:00:00,Delivered,2335.24,Ground Freight,Net 30
ORD-5240,CUST-1117,2026-08-05 09:00:00,Delivered,13185.61,Expedited Air,Net 30
ORD-5241,CUST-1067,2026-08-27 09:00:00,Delivered,10556.1,Expedited Air,Net 30
ORD-5242,CUST-1112,2026-09-04 13:00:00,Delivered,4983.91,Ground Freight,Net 30
ORD-5243,CUST-1019,2026-09-09 17:00:00,Shipped,11564.7,Expedited Air,Net 30
ORD-5244,CUST-1040,2026-08-18 15:00:00,Delivered,396.54,Ground Freight,Net 30
ORD-5245,CUST-1100,2026-08-21 12:00:00,Delivered,8160.26,Expedited Air,Net 30
ORD-5246,CUST-1112,2026-08-24 08:00:00,Delivered,2785.91,Ground Freight,Net 30
ORD-5247,CUST-1113,2026-09-06 08:00:00,Delivered,802.84,Ground Freight,Net 30
ORD-5248,CUST-1007,2026-08-24 11:00:00,Delivered,12306.43,Expedited Air,Net 30
ORD-5249,CUST-1048,2026-09-01 17:00:00,Delivered,15622.34,Expedited Air,Net 30
ORD-5250,CUST-1004,2026-08-25 08:00:00,Delivered,7616.46,Expedited Air,Net 30
ORD-5251,CUST-1035,2026-09-11 14:00:00,Processing,1102.24,Ground Freight,Net 30
ORD-5252,CUST-1033,2026-09-08 12:00:00,Shipped,7122.33,Expedited Air,Net 30
ORD-5253,CUST-1014,2026-08-01 16:00:00,Delivered,14158.42,Expedited Air,Net 30
ORD-5254,CUST-1036,2026-09-10 13:00:00,Processing,5434.91,Expedited Air,Net 30
ORD-5255,CUST-1041,2026-08-09 08:00:00,Delayed,13101.17,Expedited Air,Net 30
ORD-5256,CUST-1069,2026-09-10 15:00:00,Shipped,12889.93,Expedited Air,Net 30
ORD-5257,CUST-1095,2026-08-17 16:00:00,Delivered,8338.75,Expedited Air,Net 30
ORD-5258,CUST-1096,2026-08-20 14:00:00,Delivered,6826.53,Expedited Air,Net 30
ORD-5259,CUST-1111,2026-09-10 17:00:00,Processing,2702.4,Ground Freight,Net 30
ORD-5260,CUST-1007,2026-08-10 10:00:00,Delivered,5763.5,Expedited Air,Net 30
ORD-5261,CUST-1063,2026-08-22 18:00:00,Delivered,5987.92,Expedited Air,Net 30
ORD-5262,CUST-1027,2026-08-11 17:00:00,Delivered,2485.86,Ground Freight,Net 30
ORD-5263,CUST-1055,2026-08-31 14:00:00,Delivered,839.16,Ground Freight,Net 30
ORD-5264,CUST-1002,2026-08-21 16:00:00,Delivered,9792.64,Expedited Air,Net 30
ORD-5265,CUST-1089,2026-08-23 12:00:00,Delivered,5143.06,Expedited Air,Net 30
ORD-5266,CUST-1009,2026-08-03 12:00:00,Delivered,8305.76,Expedited Air,Net 30
ORD-5267,CUST-1046,2026-08-13 10:00:00,Delivered,12194.42,Expedited Air,Net 30
ORD-5268,CUST-1092,2026-09-11 08:00:00,Processing,7549.96,Expedited Air,Net 30
ORD-5269,CUST-1057,2026-08-25 09:00:00,Delivered,9702.9,Expedited Air,Net 30
ORD-5270,CUST-1013,2026-09-12 16:00:00,Processing,7863.3,Expedited Air,Net 30
ORD-5271,CUST-1064,2026-08-13 17:00:00,Delivered,3805.05,Ground Freight,Net 30
ORD-5272,CUST-1071,2026-09-01 11:00:00,Delivered,6485.03,Expedited Air,Net 30
ORD-5273,CUST-1012,2026-09-02 09:00:00,Delivered,4549.82,Ground Freight,Net 30
ORD-5274,CUST-1038,2026-08-17 15:00:00,Delivered,1739.97,Ground Freight,Net 30
ORD-5275,CUST-1047,2026-08-21 14:00:00,Delivered,579.99,Ground Freight,Net 30
ORD-5276,CUST-1085,2026-09-11 10:00:00,Shipped,6063.82,Expedited Air,Net 30
ORD-5277,CUST-1052,2026-08-30 12:00:00,Delivered,5937.4,Expedited Air,Net 30
ORD-5278,CUST-1117,2026-09-07 15:00:00,Delivered,11854.33,Expedited Air,Net 30
ORD-5279,CUST-1114,2026-08-27 15:00:00,Delivered,514.55,Ground Freight,Net 30
ORD-5280,CUST-1091,2026-09-03 17:00:00,Delivered,3448.86,Ground Freight,Net 30
ORD-5281,CUST-1056,2026-09-12 11:00:00,Processing,14199.67,Expedited Air,Net 30
ORD-5282,CUST-1112,2026-08-11 09:00:00,Delivered,14627.77,Expedited Air,Net 30
ORD-5283,CUST-1059,2026-08-29 17:00:00,Delivered,14106.52,Expedited Air,Net 30
ORD-5284,CUST-1005,2026-09-05 16:00:00,Delivered,5492.8,Expedited Air,Net 30
ORD-5285,CUST-1039,2026-09-02 16:00:00,Delivered,2334.1,Ground Freight,Net 30
